custid,sex,AqChannel,region,Marital_status,segment,pre_usage,Post_usage_1month,Latest_mon_usage,post_usage_2ndmonth
70,0,4,1,1,1,57,52,49.2,57.2
121,1,4,2,1,3,68,59,63.6,64.9
86,0,4,3,1,1,44,33,64.8,36.3
141,0,4,3,1,3,63,44,56.4,48.4
172,0,4,2,1,2,47,52,68.4,57.2
113,0,4,2,1,2,44,52,61.2,57.2
50,0,3,2,1,1,50,59,50.4,64.9
11,0,1,2,1,2,34,46,54,50.6
84,0,4,2,1,1,63,57,64.8,62.7
48,0,3,2,1,2,57,55,62.4,60.5
75,0,4,2,1,3,60,46,61.2,50.6
60,0,4,2,1,2,57,65,61.2,71.5
95,0,4,3,1,2,73,60,85.2,66
104,0,4,3,1,2,54,63,68.4,69.3
38,0,3,1,1,2,45,57,60,62.7
115,0,4,1,1,1,42,49,51.6,53.9
76,0,4,3,1,2,47,52,61.2,57.2
195,0,4,2,2,1,57,57,72,62.7
114,0,4,3,1,2,68,65,74.4,71.5
85,0,4,2,1,1,55,39,68.4,42.9
167,0,4,2,1,1,63,49,42,53.9
143,0,4,2,1,3,63,63,90,69.3
41,0,3,2,1,2,50,40,54,44
20,0,1,3,1,2,60,52,68.4,57.2
12,0,1,2,1,3,37,44,54,48.4
53,0,3,2,1,3,34,37,55.2,40.7
154,0,4,3,1,2,65,65,79.2,71.5
178,0,4,2,2,3,47,57,68.4,62.7
196,0,4,3,2,2,44,38,58.8,41.8
29,0,2,1,1,1,52,44,58.8,48.4
126,0,4,2,1,1,42,31,68.4,34.1
103,0,4,3,1,2,76,52,76.8,57.2
192,0,4,3,2,2,65,67,75.6,73.7
150,0,4,2,1,3,42,41,68.4,45.1
199,0,4,3,2,2,52,59,60,64.9
144,0,4,3,1,1,60,65,69.6,71.5
200,0,4,2,2,2,68,54,90,59.4
80,0,4,3,1,2,65,62,81.6,68.2
16,0,1,1,1,3,47,31,52.8,34.1
153,0,4,2,1,3,39,31,48,34.1
176,0,4,2,2,2,47,47,49.2,51.7
177,0,4,2,2,2,55,59,74.4,64.9
168,0,4,2,1,2,52,54,68.4,59.4
40,0,3,1,1,1,42,41,51.6,45.1
62,0,4,3,1,1,65,65,57.6,71.5
169,0,4,1,1,1,55,59,75.6,64.9
49,0,3,3,1,3,50,40,46.8,44
136,0,4,2,1,2,65,59,84,64.9
189,0,4,2,2,2,47,59,75.6,64.9
7,0,1,2,1,2,57,54,70.8,59.4
27,0,2,2,1,2,53,61,73.2,67.1
128,0,4,3,1,2,39,33,45.6,36.3
21,0,1,2,1,1,44,44,73.2,48.4
183,0,4,2,2,2,63,59,58.8,64.9
132,0,4,2,1,2,73,62,87.6,68.2
15,0,1,3,1,3,39,39,52.8,42.9
67,0,4,1,1,3,37,37,50.4,40.7
22,0,1,2,1,3,42,39,46.8,42.9
185,0,4,2,2,2,63,57,66,62.7
9,0,1,2,1,3,48,49,62.4,53.9
181,0,4,2,2,2,50,46,54,50.6
170,0,4,3,1,2,47,62,73.2,68.2
134,0,4,1,1,1,44,44,46.8,48.4
108,0,4,2,1,1,34,33,49.2,36.3
197,0,4,3,2,2,50,42,60,46.2
140,0,4,2,1,3,44,41,48,45.1
171,0,4,2,1,2,60,54,72,59.4
107,0,4,1,1,3,47,39,56.4,42.9
81,0,4,1,1,2,63,43,70.8,47.3
18,0,1,2,1,3,50,33,58.8,36.3
155,0,4,2,1,1,44,44,55.2,48.4
97,0,4,3,1,2,60,54,69.6,59.4
68,0,4,2,1,2,73,67,85.2,73.7
157,0,4,2,1,1,68,59,69.6,64.9
56,0,4,2,1,3,55,45,55.2,49.5
5,0,1,1,1,2,47,40,51.6,44
159,0,4,3,1,2,55,61,64.8,67.1
123,0,4,3,1,1,68,59,67.2,64.9
164,0,4,2,1,3,31,36,55.2,39.6
14,0,1,3,1,2,47,41,64.8,45.1
127,0,4,3,1,2,63,59,68.4,64.9
165,0,4,1,1,3,36,49,64.8,53.9
174,0,4,2,2,2,68,59,85.2,64.9
3,0,1,1,1,2,63,65,57.6,71.5
58,0,4,2,1,3,55,41,48,45.1
146,0,4,3,1,2,55,62,76.8,68.2
102,0,4,3,1,2,52,41,61.2,45.1
117,0,4,3,1,3,34,49,46.8,53.9
133,0,4,2,1,3,50,31,48,34.1
94,0,4,3,1,2,55,49,73.2,53.9
24,0,2,2,1,2,52,62,79.2,68.2
149,0,4,1,1,1,63,49,58.8,53.9
82,1,4,3,1,2,68,62,78,68.2
8,1,1,1,1,2,39,44,62.4,48.4
129,1,4,1,1,1,44,44,55.2,48.4
173,1,4,1,1,1,50,62,73.2,68.2
57,1,4,2,1,2,71,65,86.4,71.5
100,1,4,3,1,2,63,65,85.2,71.5
1,1,1,1,1,3,34,44,48,48.4
194,1,4,3,2,2,63,63,82.8,69.3
88,1,4,3,1,2,68,60,76.8,66
99,1,4,3,1,1,47,59,67.2,64.9
47,1,3,1,1,2,47,46,58.8,50.6
120,1,4,3,1,2,63,52,64.8,57.2
166,1,4,2,1,2,52,59,63.6,64.9
65,1,4,2,1,2,55,54,79.2,59.4
101,1,4,3,1,2,60,62,80.4,68.2
89,1,4,1,1,3,35,35,48,38.5
54,1,3,1,2,1,47,54,55.2,59.4
180,1,4,3,2,2,71,65,82.8,71.5
162,1,4,2,1,3,57,52,48,57.2
4,1,1,1,1,2,44,50,49.2,55
131,1,4,3,1,2,65,59,68.4,64.9
125,1,4,1,1,2,68,65,69.6,71.5
34,1,1,3,2,2,73,61,68.4,67.1
106,1,4,2,1,3,36,44,44.4,48.4
130,1,4,3,1,1,43,54,66,59.4
93,1,4,3,1,2,73,67,74.4,73.7
163,1,4,1,1,2,52,57,76.8,62.7
37,1,3,1,1,3,41,47,48,51.7
35,1,1,1,2,1,60,54,60,59.4
87,1,4,2,1,1,50,52,55.2,57.2
73,1,4,2,1,2,50,52,63.6,57.2
151,1,4,2,1,3,47,46,62.4,50.6
44,1,3,1,1,3,47,62,54,68.2
152,1,4,3,1,2,55,57,67.2,62.7
105,1,4,2,1,2,50,41,54,45.1
28,1,2,2,1,1,39,53,64.8,58.3
91,1,4,3,1,3,50,49,67.2,53.9
45,1,3,1,1,3,34,35,49.2,38.5
116,1,4,2,1,2,57,59,64.8,64.9
33,1,2,1,1,2,57,65,86.4,71.5
66,1,4,2,1,3,68,62,67.2,68.2
72,1,4,2,1,3,42,54,56.4,59.4
77,1,4,1,1,2,61,59,58.8,64.9
61,1,4,3,1,2,76,63,72,69.3
190,1,4,2,2,2,47,59,64.8,64.9
42,1,3,2,1,3,46,52,66,57.2
2,1,1,2,1,3,39,41,39.6,45.1
55,1,3,2,2,2,52,49,58.8,53.9
19,1,1,1,1,1,28,46,51.6,50.6
90,1,4,3,1,2,42,54,60,59.4
142,1,4,2,1,3,47,42,62.4,46.2
17,1,1,2,1,2,47,57,57.6,62.7
122,1,4,2,1,2,52,59,69.6,64.9
191,1,4,3,2,2,47,52,51.6,57.2
83,1,4,2,1,3,50,62,49.2,68.2
182,1,4,2,2,2,44,52,51.6,57.2
6,1,1,1,1,2,47,41,55.2,45.1
46,1,3,1,1,2,45,55,52.8,60.5
43,1,3,1,1,2,47,37,51.6,40.7
96,1,4,3,1,2,65,54,73.2,59.4
138,1,4,2,1,3,43,57,48,62.7
10,1,1,2,1,1,47,54,58.8,59.4
71,1,4,2,1,1,57,62,67.2,68.2
139,1,4,2,1,2,68,59,73.2,64.9
110,1,4,2,1,3,52,55,60,60.5
148,1,4,2,1,3,42,57,61.2,62.7
109,1,4,2,1,1,42,39,50.4,42.9
39,1,3,3,1,2,66,67,80.4,73.7
147,1,4,1,1,2,47,62,63.6,68.2
74,1,4,2,1,2,57,50,60,55
198,1,4,3,2,2,47,61,61.2,67.1
161,1,4,1,1,2,57,62,86.4,68.2
112,1,4,2,1,2,52,59,57.6,64.9
69,1,4,1,1,3,44,44,48,48.4
156,1,4,2,1,2,50,59,63.6,64.9
111,1,4,1,1,1,39,54,46.8,59.4
186,1,4,2,2,2,57,62,75.6,68.2
98,1,4,1,1,3,57,60,61.2,66
119,1,4,1,1,1,42,57,54,62.7
13,1,1,2,1,3,47,46,46.8,50.6
51,1,3,3,1,1,42,36,50.4,39.6
26,1,2,3,1,2,60,59,74.4,64.9
36,1,3,1,1,1,44,49,52.8,53.9
135,1,4,1,1,2,63,60,78,66
59,1,4,2,1,2,65,67,75.6,73.7
78,1,4,2,1,2,39,54,64.8,59.4
64,1,4,3,1,3,50,52,54,57.2
63,1,4,1,1,1,52,65,72,71.5
79,1,4,2,1,2,60,62,58.8,68.2
193,1,4,2,2,2,44,49,57.6,53.9
92,1,4,3,1,1,52,67,68.4,73.7
160,1,4,2,1,2,55,65,66,71.5
32,1,2,3,1,3,50,67,79.2,73.7
23,1,2,1,1,2,65,65,76.8,71.5
158,1,4,2,1,1,52,54,66,59.4
25,1,2,2,1,1,47,44,50.4,48.4
188,1,4,3,2,2,63,62,67.2,68.2
52,1,3,1,1,2,50,46,63.6,50.6
124,1,4,1,1,3,42,54,49.2,59.4
175,1,4,3,2,1,36,57,50.4,62.7
184,1,4,2,2,3,50,52,63.6,57.2
30,1,2,3,1,2,41,59,50.4,64.9
179,1,4,2,2,2,47,65,72,71.5
31,1,2,2,2,1,55,59,62.4,64.9
145,1,4,2,1,3,42,46,45.6,50.6
187,1,4,2,2,1,57,41,68.4,45.1
118,1,4,2,1,1,55,62,69.6,68.2
137,1,4,3,1,2,63,65,78,71.5
